source,target,relationship
"{""caption"":San_Giovanni,""id"":935,""label"":Peach_variant,""properties"":{""name"":San_Giovanni}}","{""caption"":Rosella,""id"":1153,""label"":Peach_variant,""properties"":{""name"":Rosella}}","{""value"":{}}"
"{""caption"":San_Giovanni,""id"":935,""label"":Peach_variant,""properties"":{""name"":San_Giovanni}}","{""caption"":Primerose,""id"":1002,""label"":Peach_variant,""properties"":{""name"":Primerose}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Limonini,""id"":989,""label"":Peach_variant,""properties"":{""name"":Limonini}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Pesca_A_Cuore_Capozzi,""id"":927,""label"":Peach_variant,""properties"":{""name"":Pesca_A_Cuore_Capozzi}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Bianca_Russotto_(Fol_8),""id"":942,""label"":Peach_variant,""properties"":{""name"":Bianca_Russotto_(Fol_8)}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Cumberland,""id"":1099,""label"":Peach_variant,""properties"":{""name"":Cumberland}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Slappey,""id"":1121,""label"":Peach_variant,""properties"":{""name"":Slappey}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Reginella_I,""id"":931,""label"":Peach_variant,""properties"":{""name"":Reginella_I}}","{""value"":{}}"
"{""caption"":Belle_Of_Georgia_(Fol_7),""id"":941,""label"":Peach_variant,""properties"":{""name"":Belle_Of_Georgia_(Fol_7)}}","{""caption"":Semis_De_China,""id"":1037,""label"":Peach_variant,""properties"":{""name"":Semis_De_China}}","{""value"":{}}"
"{""caption"":Buttapietra_(Fol_10),""id"":943,""label"":Peach_variant,""properties"":{""name"":Buttapietra_(Fol_10)}}","{""caption"":May_Flower,""id"":996,""label"":Peach_variant,""properties"":{""name"":May_Flower}}","{""value"":{}}"
"{""caption"":Buttapietra_(Fol_10),""id"":943,""label"":Peach_variant,""properties"":{""name"":Buttapietra_(Fol_10)}}","{""caption"":Luisa_Berselli,""id"":990,""label"":Peach_variant,""properties"":{""name"":Luisa_Berselli}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Iff_331,""id"":1142,""label"":Peach_variant,""properties"":{""name"":Iff_331}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":NJ307,""id"":1152,""label"":Peach_variant,""properties"":{""name"":NJ307}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Xia_Cui,""id"":1223,""label"":Peach_variant,""properties"":{""name"":Xia_Cui}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Yumyeong,""id"":1019,""label"":Peach_variant,""properties"":{""name"":Yumyeong}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Jing_Hong,""id"":1074,""label"":Peach_variant,""properties"":{""name"":Jing_Hong}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Zao_Kui,""id"":1238,""label"":Peach_variant,""properties"":{""name"":Zao_Kui}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Beijing,""id"":1135,""label"":Peach_variant,""properties"":{""name"":Beijing}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Jv_Wang_Tao,""id"":1195,""label"":Peach_variant,""properties"":{""name"":Jv_Wang_Tao}}","{""value"":{}}"
"{""caption"":Okubo_(Fol_26),""id"":945,""label"":Peach_variant,""properties"":{""name"":Okubo_(Fol_26)}}","{""caption"":Hong_Tao_Wang,""id"":1188,""label"":Peach_variant,""properties"":{""name"":Hong_Tao_Wang}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Helene_Turc,""id"":1084,""label"":Peach_variant,""properties"":{""name"":Helene_Turc}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Rossa_De_Cechi,""id"":932,""label"":Peach_variant,""properties"":{""name"":Rossa_De_Cechi}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Hybride_Inra_2,""id"":1040,""label"":Peach_variant,""properties"":{""name"":Hybride_Inra_2}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Semis_De_Roussanne,""id"":1050,""label"":Peach_variant,""properties"":{""name"":Semis_De_Roussanne}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Inra_Hybrid_(Redwing_147_X_Dixired_123)_8,""id"":1068,""label"":Peach_variant,""properties"":{""name"":Inra_Hybrid_(Redwing_147_X_Dixired_123)_8}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Talana,""id"":1073,""label"":Peach_variant,""properties"":{""name"":Talana}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Genadix_4,""id"":1081,""label"":Peach_variant,""properties"":{""name"":Genadix_4}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Cardinal,""id"":1077,""label"":Peach_variant,""properties"":{""name"":Cardinal}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Maddalena_Reale_(Fol_24),""id"":944,""label"":Peach_variant,""properties"":{""name"":Maddalena_Reale_(Fol_24)}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Winblo,""id"":1132,""label"":Peach_variant,""properties"":{""name"":Winblo}}","{""value"":{}}"
